,loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0,11.114148139953613,0.6274722218513489,0.09721387177705765,0.7772436141967773,0.8222790956497192,10.466771125793457,0.2549845576286316,0.04352637380361557,0.6629213690757751,0.45283424854278564
1,10.237715721130371,0.4001684784889221,0.05338403210043907,0.6560747623443604,0.546332836151123,9.661750793457031,0.3684358298778534,0.05954912677407265,0.7865168452262878,0.6260823011398315
2,9.435901641845703,0.47589626908302307,0.06953417509794235,0.7644859552383423,0.6684126853942871,8.924820899963379,0.47711315751075745,0.07345491647720337,0.8146067261695862,0.7280919551849365
3,8.708963394165039,0.5417017936706543,0.08123679459095001,0.790654182434082,0.7336434125900269,8.24977970123291,0.5588318109512329,0.08860012143850327,0.8426966071128845,0.7801864743232727
4,8.046211242675781,0.5938406586647034,0.09237033873796463,0.8056074976921082,0.7720626592636108,7.636991024017334,0.6079753041267395,0.09986859560012817,0.8539325594902039,0.8082547783851624
5,7.436244964599609,0.6357764601707458,0.10368446260690689,0.8205607533454895,0.8052592873573303,7.064555644989014,0.6627351641654968,0.11220621317625046,0.8314606547355652,0.8242070078849792
6,6.883973598480225,0.6939061880111694,0.11897464841604233,0.7981308698654175,0.8156548738479614,6.535678863525391,0.7042965292930603,0.12638770043849945,0.8314606547355652,0.8361976742744446
7,6.383071422576904,0.7249836325645447,0.12859350442886353,0.7775700688362122,0.8278027176856995,6.063642501831055,0.7309744358062744,0.13687150180339813,0.8258426785469055,0.8439304828643799
8,5.928212642669678,0.7364036440849304,0.13480627536773682,0.7869158983230591,0.8337770104408264,5.649814605712891,0.7281662225723267,0.1376146823167801,0.8426966071128845,0.848811149597168
9,5.507045745849609,0.7361227869987488,0.13607393205165863,0.7981308698654175,0.8461353778839111,5.267165184020996,0.7320977449417114,0.13940520584583282,0.8426966071128845,0.8534203171730042
10,5.130577087402344,0.7382757663726807,0.13916374742984772,0.8149532675743103,0.8474649786949158,4.91893196105957,0.7309744358062744,0.1382189244031906,0.8370786309242249,0.8577064275741577
