prob_0,prob_1,predicted_class,set,date,true_y
0.2956222,0.70437783,1,train,1981-04-22,0
0.23853444,0.7614656,1,train,1981-04-23,0
0.98290133,0.017098648,0,train,1981-04-24,0
0.98050666,0.0194934,0,train,1981-04-25,0
0.97169995,0.02830004,0,train,1981-04-26,0
0.9329468,0.06705318,0,train,1981-04-27,0
0.8505087,0.14949137,0,train,1981-04-28,0
0.91697013,0.08302983,0,test,1981-04-29,0
0.9711728,0.02882725,0,test,1981-04-30,0
0.9879336,0.012066392,0,train,1981-05-01,0
0.9937868,0.0062132026,0,train,1981-05-02,0
0.9504887,0.04951135,0,train,1981-05-03,0
0.5780707,0.42192933,0,test,1981-05-04,1
0.88913345,0.110866494,0,train,1981-05-05,0
0.9335278,0.06647216,0,train,1981-05-06,0
0.8927031,0.107296854,0,train,1981-05-07,0
0.5708567,0.42914334,0,train,1981-05-08,0
0.76975113,0.23024885,1,test,1981-05-09,0
0.7490325,0.25096753,0,test,1981-05-10,0
0.9338826,0.06611739,0,train,1981-05-11,0
0.9327201,0.06727985,0,train,1981-05-12,0
0.8202463,0.17975374,0,train,1981-05-13,0
0.7239189,0.2760811,0,test,1981-05-14,0
0.95635855,0.043641493,0,train,1981-05-15,0
0.8376005,0.1623995,0,train,1981-05-16,0
0.3133348,0.6866652,1,test,1981-05-17,0
0.31781775,0.6821823,1,train,1981-05-18,1
0.7120617,0.2879383,0,train,1981-05-19,0
0.9539408,0.046059184,0,train,1981-05-20,0
0.841309,0.15869097,0,train,1981-05-21,0
0.3315363,0.6684637,0,test,1981-05-22,0
0.14237244,0.8576276,1,train,1981-05-23,0
0.16187362,0.83812636,1,train,1981-05-24,0
0.4051357,0.59486425,0,test,1981-05-25,0
0.8583934,0.14160664,0,test,1981-05-26,0
0.9533313,0.04666873,0,train,1981-05-27,0
0.97114134,0.02885867,0,train,1981-05-28,0
0.9611411,0.038858887,0,train,1981-05-29,0
0.91073084,0.0892691,0,test,1981-05-30,0
0.91540086,0.08459915,0,train,1981-05-31,0
0.6526227,0.3473773,0,test,1981-06-01,0
0.52692765,0.47307232,0,test,1981-06-02,0
0.5359571,0.46404284,0,train,1981-06-03,0
0.6558108,0.34418923,0,train,1981-06-04,0
0.36848217,0.6315178,0,train,1981-06-05,0
0.80042297,0.19957705,0,train,1981-06-06,0
0.91216433,0.08783571,0,test,1981-06-07,0
0.899768,0.100231975,0,test,1981-06-08,0
0.9501448,0.04985516,0,test,1981-06-09,0
0.74589777,0.25410223,0,train,1981-06-10,0
0.879607,0.120393015,0,train,1981-06-11,0
0.79964423,0.20035572,0,test,1981-06-12,0
0.34854546,0.6514545,1,train,1981-06-13,1
0.07752639,0.9224736,1,test,1981-06-14,1
0.030184407,0.96981555,1,train,1981-06-15,1
0.05923491,0.94076514,1,train,1981-06-16,0
0.6439833,0.3560167,0,train,1981-06-17,0
0.49168116,0.50831884,0,test,1981-06-18,0
0.7586715,0.24132851,0,test,1981-06-19,0
0.8248749,0.17512517,0,test,1981-06-20,0
0.70055395,0.29944608,0,train,1981-06-21,0
0.6678641,0.33213592,0,train,1981-06-22,0
0.93808,0.06191992,0,train,1981-06-23,0
0.81768847,0.18231155,0,train,1981-06-24,0
0.90131634,0.0986837,0,train,1981-06-25,0
0.98412967,0.015870297,0,train,1981-06-26,0
0.97098947,0.029010562,0,train,1981-06-27,0
0.6870491,0.312951,0,train,1981-06-28,0
0.27410218,0.7258979,1,train,1981-06-29,0
0.76475364,0.23524635,0,train,1981-06-30,0
0.9567854,0.043214682,0,train,1981-07-01,0
0.97171843,0.028281584,0,train,1981-07-02,0
0.92786497,0.072135024,0,train,1981-07-03,0
0.9300714,0.06992853,0,train,1981-07-04,0
0.9711148,0.028885271,0,train,1981-07-05,0
0.94698435,0.053015664,0,train,1981-07-06,0
0.23465791,0.7653421,0,train,1981-07-07,0
0.06757558,0.93242437,0,train,1981-07-08,0
0.2965722,0.70342773,0,test,1981-07-09,0
0.74330044,0.2566996,0,train,1981-07-10,0
0.8055911,0.19440888,0,train,1981-07-11,0
0.8369234,0.16307661,0,train,1981-07-12,0
0.75831693,0.24168305,0,train,1981-07-13,0
0.6939935,0.30600643,0,train,1981-07-14,0
0.5867114,0.41328868,1,train,1981-07-15,0
0.3692456,0.6307544,1,test,1981-07-16,0
0.4318455,0.5681545,0,test,1981-07-17,0
0.4884666,0.51153344,0,train,1981-07-18,0
0.23611031,0.7638897,1,train,1981-07-19,0
0.33354038,0.6664596,1,test,1981-07-20,0
0.9412906,0.05870938,0,train,1981-07-21,0
0.94759494,0.052405063,0,train,1981-07-22,0
0.7005509,0.29944912,0,train,1981-07-23,0
0.5136855,0.48631454,0,test,1981-07-24,0
0.37451485,0.6254852,1,train,1981-07-25,0
0.24668567,0.7533144,1,train,1981-07-26,1
0.066854134,0.9331459,1,test,1981-07-27,1
0.085557,0.914443,1,test,1981-07-28,1
0.79291284,0.20708714,0,train,1981-07-29,0
0.816094,0.18390602,0,train,1981-07-30,0
0.75832564,0.2416744,0,train,1981-07-31,0
0.79522896,0.20477103,0,test,1981-08-01,0
0.663885,0.33611494,0,train,1981-08-02,1
0.9214212,0.078578815,0,train,1981-08-03,0
0.9009397,0.09906028,0,test,1981-08-04,0
0.67832345,0.32167646,0,train,1981-08-05,0
0.4777358,0.5222642,0,test,1981-08-06,0
0.5903691,0.4096309,1,test,1981-08-07,0
0.79591334,0.20408666,0,train,1981-08-08,0
0.7040969,0.29590312,0,train,1981-08-09,0
0.29489696,0.70510304,0,train,1981-08-10,0
0.38400638,0.6159936,0,train,1981-08-11,0
0.8403935,0.15960653,0,train,1981-08-12,0
0.65455234,0.34544763,0,test,1981-08-13,0
0.38469252,0.6153075,0,train,1981-08-14,0
0.6727683,0.32723173,1,train,1981-08-15,0
0.77162063,0.2283794,0,train,1981-08-16,0
0.8537681,0.14623186,0,train,1981-08-17,0
0.6149993,0.38500065,0,train,1981-08-18,0
0.83295405,0.16704589,0,train,1981-08-19,0
0.96593094,0.034069028,0,train,1981-08-20,0
0.90591586,0.09408408,0,train,1981-08-21,0
0.88259524,0.11740472,0,train,1981-08-22,0
0.77110404,0.228896,0,train,1981-08-23,0
0.5896371,0.41036287,0,test,1981-08-24,0
0.6977691,0.3022309,0,test,1981-08-25,0
0.5334924,0.46650764,1,test,1981-08-26,0
0.44862247,0.55137753,1,train,1981-08-27,0
0.17604353,0.8239565,1,train,1981-08-28,0
0.30413565,0.6958644,0,train,1981-08-29,0
0.7737653,0.22623469,0,train,1981-08-30,0
0.5518002,0.44819978,0,train,1981-08-31,0
0.6270393,0.37296066,1,test,1981-09-01,0
0.67735577,0.32264426,0,train,1981-09-02,0
0.64409816,0.3559019,0,train,1981-09-03,0
0.7204934,0.2795066,0,test,1981-09-04,0
0.7815897,0.2184103,0,test,1981-09-05,0
0.69906396,0.300936,0,train,1981-09-06,0
0.71311885,0.28688115,0,train,1981-09-07,1
0.9685167,0.031483304,0,train,1981-09-08,0
0.9833239,0.016676107,0,train,1981-09-09,0
0.9652885,0.03471149,0,train,1981-09-10,0
0.766983,0.23301703,0,train,1981-09-11,0
0.9194623,0.08053765,0,train,1981-09-12,0
0.8600517,0.13994831,0,train,1981-09-13,0
0.86268586,0.13731416,0,train,1981-09-14,0
0.9327995,0.06720048,0,train,1981-09-15,0
0.90046203,0.099538,0,train,1981-09-16,0
0.94674015,0.053259846,0,train,1981-09-17,0
0.99681574,0.0031842524,0,train,1981-09-18,0
0.9979615,0.002038455,0,test,1981-09-19,0
0.9792586,0.020741444,0,train,1981-09-20,0
0.98,0.01999997,0,train,1981-09-21,0
0.9799963,0.02000367,0,train,1981-09-22,0
0.9862801,0.013719906,0,train,1981-09-23,0
0.9411334,0.058866654,0,train,1981-09-24,0
0.41541615,0.5845838,0,test,1981-09-25,0
0.19852248,0.8014775,1,train,1981-09-26,0
0.75612557,0.24387449,0,train,1981-09-27,0
0.94802684,0.051973127,0,test,1981-09-28,0
0.86269754,0.13730241,0,train,1981-09-29,0
0.68992615,0.31007382,1,test,1981-09-30,0
0.5740904,0.42590955,1,train,1981-10-01,0
0.98744094,0.0125590395,0,test,1981-10-02,0
0.9574041,0.04259597,0,train,1981-10-03,0
0.6267948,0.37320516,0,train,1981-10-04,1
0.5828509,0.4171491,0,test,1981-10-05,0
0.5643485,0.43565154,0,train,1981-10-06,0
0.94147193,0.05852807,0,train,1981-10-07,0
0.94935024,0.050649684,0,train,1981-10-08,0
0.66673434,0.3332657,0,train,1981-10-09,0
0.71007377,0.2899262,0,test,1981-10-10,0
0.8010405,0.19895951,0,train,1981-10-11,0
0.70690405,0.29309592,0,test,1981-10-12,0
0.7619258,0.23807418,0,train,1981-10-13,0
0.70435035,0.29564965,1,train,1981-10-14,1
0.7750533,0.22494674,0,train,1981-10-15,0
0.855461,0.14453898,0,train,1981-10-16,0
0.32901126,0.67098874,0,train,1981-10-17,0
0.4812393,0.5187607,0,train,1981-10-18,1
0.99259067,0.007409345,0,train,1981-10-19,0
0.9632459,0.036754128,0,test,1981-10-20,0
0.80083543,0.19916451,0,train,1981-10-21,0
0.64981353,0.3501864,0,train,1981-10-22,0
0.79700875,0.20299126,0,train,1981-10-23,0
0.91825116,0.081748836,0,test,1981-10-24,0
0.5432958,0.4567042,0,test,1981-10-25,0
0.84780926,0.15219079,0,train,1981-10-26,0
0.9567934,0.043206528,0,train,1981-10-27,0
0.95324713,0.046752907,0,test,1981-10-28,0
0.75200325,0.24799676,0,train,1981-10-29,0
0.2751578,0.72484225,0,train,1981-10-30,0
0.18325752,0.8167424,1,train,1981-10-31,0
0.21147269,0.7885273,1,train,1981-11-01,0
0.19263718,0.80736285,1,train,1981-11-02,0
0.19436367,0.80563635,0,train,1981-11-03,0
0.2791364,0.7208636,0,train,1981-11-04,0
0.8455993,0.15440068,0,train,1981-11-05,0
0.9642945,0.035705507,0,test,1981-11-06,0
0.974324,0.025676038,0,train,1981-11-07,0
0.8768693,0.12313069,0,train,1981-11-08,0
0.93534523,0.06465479,0,train,1981-11-09,0
0.9505577,0.049442343,0,train,1981-11-10,0
0.9665375,0.03346252,0,train,1981-11-11,0
0.9449903,0.05500974,0,train,1981-11-12,0
0.9111522,0.08884781,0,test,1981-11-13,0
0.93035954,0.06964045,0,test,1981-11-14,0
0.9223362,0.077663824,0,train,1981-11-15,0
0.9426759,0.05732406,0,train,1981-11-16,0
0.9722304,0.027769633,0,train,1981-11-17,0
0.9518414,0.04815858,0,test,1981-11-18,0
0.24306199,0.756938,1,train,1981-11-19,0
0.8196031,0.18039696,0,train,1981-11-20,0
0.9697233,0.030276684,0,train,1981-11-21,0
0.9575598,0.04244016,0,train,1981-11-22,0
0.91067153,0.0893285,0,train,1981-11-23,0
0.946206,0.05379401,0,train,1981-11-24,0
0.8732313,0.12676874,0,train,1981-11-25,0
0.30846244,0.69153756,1,train,1981-11-26,0
0.9116244,0.08837561,0,train,1981-11-27,0
0.87831837,0.12168165,0,train,1981-11-28,0
0.8257332,0.17426679,0,test,1981-11-29,0
0.60280794,0.3971921,0,train,1981-11-30,0
0.21774246,0.78225756,1,test,1981-12-01,1
0.8766415,0.12335846,0,train,1981-12-02,0
0.9525337,0.047466278,0,train,1981-12-03,0
0.9573289,0.042671096,0,train,1981-12-04,0
0.9673903,0.03260973,0,train,1981-12-05,0
0.96481067,0.035189364,0,train,1981-12-06,0
0.9470686,0.052931435,0,train,1981-12-07,0
0.93994683,0.060053155,0,train,1981-12-08,0
0.9771666,0.022833323,0,train,1981-12-09,0
0.9815267,0.018473264,0,train,1981-12-10,0
0.95813084,0.041869104,0,train,1981-12-11,0
0.89817154,0.10182845,0,test,1981-12-12,0
0.8379764,0.16202354,0,train,1981-12-13,0
0.85265034,0.14734967,0,test,1981-12-14,0
0.9422006,0.057799377,0,train,1981-12-15,0
0.9659381,0.03406194,0,train,1981-12-16,0
0.8140911,0.18590885,0,train,1981-12-17,0
0.9606316,0.039368436,0,train,1981-12-18,0
0.9883994,0.011600654,0,train,1981-12-19,0
0.98235255,0.01764749,0,train,1981-12-20,0
0.82694083,0.17305914,0,test,1981-12-21,0
0.7088775,0.2911226,0,train,1981-12-22,0
0.41587996,0.58412004,0,test,1981-12-23,0
0.61465204,0.385348,0,test,1981-12-24,0
0.79271346,0.20728657,0,test,1981-12-25,0
0.18947692,0.81052315,1,train,1981-12-26,0
0.50807464,0.4919254,0,train,1981-12-27,0
0.6673579,0.3326421,0,test,1981-12-28,0
0.8426646,0.15733539,0,train,1981-12-29,0
0.87600154,0.12399853,0,train,1981-12-30,0
0.49890077,0.5010992,1,train,1981-12-31,0
0.8791573,0.12084266,0,train,1982-01-01,0
0.5555532,0.44444677,0,train,1982-01-02,0
0.1192681,0.88073194,1,train,1982-01-03,0
0.24340244,0.7565976,1,test,1982-01-04,0
0.92770827,0.07229176,0,train,1982-01-05,0
0.6107705,0.38922942,0,train,1982-01-06,0
0.5673487,0.43265125,0,train,1982-01-07,0
0.9102036,0.08979648,0,train,1982-01-08,0
0.95033264,0.049667414,0,train,1982-01-09,0
0.9689837,0.031016365,0,train,1982-01-10,0
0.9746046,0.02539534,0,train,1982-01-11,0
0.80647236,0.19352764,0,train,1982-01-12,0
0.6226517,0.37734824,0,train,1982-01-13,0
0.924011,0.075988986,0,test,1982-01-14,0
0.94653916,0.05346076,0,train,1982-01-15,0
0.77401406,0.22598596,0,test,1982-01-16,0
0.97405505,0.025944917,0,test,1982-01-17,0
0.76238614,0.2376138,0,train,1982-01-18,0
0.59289837,0.40710166,0,train,1982-01-19,0
0.54702795,0.4529721,0,train,1982-01-20,0
0.432313,0.567687,1,train,1982-01-21,0
0.12762003,0.87238,1,train,1982-01-22,0
0.074082315,0.9259177,1,train,1982-01-23,1
0.9624216,0.037578393,0,train,1982-01-24,0
0.9065392,0.09346074,0,train,1982-01-25,0
0.9726725,0.027327484,0,train,1982-01-26,0
0.82720596,0.172794,0,test,1982-01-27,0
0.8711773,0.12882276,0,train,1982-01-28,0
0.88497424,0.11502573,0,train,1982-01-29,0
0.36565155,0.6343485,1,train,1982-01-30,0
