prob_0,prob_1,predicted_class,set,date,true_y
0.8793031,0.120696895,0,train,1981-05-08,0
0.38549808,0.61450195,1,test,1981-05-09,0
0.6722811,0.3277189,0,test,1981-05-10,0
0.9694173,0.030582715,0,train,1981-05-11,0
0.95546573,0.044534247,0,train,1981-05-12,0
0.7834707,0.21652937,0,train,1981-05-13,0
0.7021379,0.29786205,0,test,1981-05-14,0
0.99292433,0.007075621,0,train,1981-05-15,0
0.9383056,0.06169434,0,train,1981-05-16,0
0.37210307,0.62789696,1,test,1981-05-17,0
0.0640135,0.9359865,1,train,1981-05-18,1
0.93401766,0.065982305,0,train,1981-05-19,0
0.9967694,0.0032306,0,train,1981-05-20,0
0.99201804,0.007981955,0,train,1981-05-21,0
0.73286235,0.2671376,0,test,1981-05-22,0
0.1799509,0.8200491,1,train,1981-05-23,0
0.166634,0.833366,1,train,1981-05-24,0
0.7437425,0.25625744,0,test,1981-05-25,0
0.9494001,0.050599914,0,test,1981-05-26,0
0.97289014,0.027109845,0,train,1981-05-27,0
0.9839041,0.01609595,0,train,1981-05-28,0
0.97251904,0.027480949,0,train,1981-05-29,0
0.9160366,0.083963394,0,test,1981-05-30,0
0.98377174,0.016228301,0,train,1981-05-31,0
0.8858019,0.1141981,0,test,1981-06-01,0
0.58958626,0.41041374,0,test,1981-06-02,0
0.61921436,0.38078564,0,train,1981-06-03,0
0.8367648,0.16323523,0,train,1981-06-04,0
0.7744807,0.22551934,0,train,1981-06-05,0
0.88692427,0.11307569,0,train,1981-06-06,0
0.9730943,0.026905725,0,test,1981-06-07,0
0.94092757,0.05907241,0,test,1981-06-08,0
0.90964913,0.09035087,0,test,1981-06-09,0
0.64893454,0.35106552,0,train,1981-06-10,0
0.9329133,0.067086734,0,train,1981-06-11,0
0.88135403,0.11864592,0,test,1981-06-12,0
0.47427556,0.5257244,1,train,1981-06-13,1
0.06133492,0.9386651,1,test,1981-06-14,1
0.018714197,0.9812858,1,train,1981-06-15,1
0.43265054,0.5673495,1,train,1981-06-16,0
0.9824607,0.017539278,0,train,1981-06-17,0
0.73069245,0.26930758,0,test,1981-06-18,0
0.7822981,0.21770194,0,test,1981-06-19,0
0.7822542,0.21774572,0,test,1981-06-20,0
0.7063063,0.29369375,0,train,1981-06-21,0
0.6422441,0.35775596,0,train,1981-06-22,0
0.98537654,0.014623425,0,train,1981-06-23,0
0.7605984,0.23940153,0,train,1981-06-24,0
0.9380284,0.061971635,0,train,1981-06-25,0
0.9941472,0.005852773,0,train,1981-06-26,0
0.991366,0.008633984,0,train,1981-06-27,0
0.7513482,0.24865183,0,train,1981-06-28,0
0.32972917,0.6702708,1,train,1981-06-29,0
0.9460715,0.053928487,0,train,1981-06-30,0
0.98049474,0.01950524,0,train,1981-07-01,0
